interaction_id,customer_id,product_id,interaction_date,interaction_type,rating,source
56,1204,14,2024-08-26,view,,Category
57,485,439,2024-09-06,click,,Recommendation
58,768,511,2024-10-30,view,4.0,Recommendation
59,1315,39,2024-08-31,wishlist,5.0,Category
60,275,285,2024-11-21,click,,Advertisement
61,850,296,2024-01-25,view,3.0,Category
62,497,211,2025-07-06,view,1.0,Recommendation
63,1246,391,2025-06-17,view,5.0,Search
64,133,504,2024-03-12,wishlist,,Recommendation
65,419,129,2024-04-03,view,1.0,Recommendation
66,1040,81,2025-03-12,cart,2.0,Recommendation
67,1478,203,2024-09-07,view,1.0,Category
68,585,591,2025-04-04,wishlist,1.0,Category
69,986,82,2025-01-03,view,,Direct
70,904,433,2025-06-01,click,4.0,Recommendation
71,988,21,2025-01-25,view,,Category
72,1219,551,2024-06-05,click,,Category
73,780,475,2024-11-09,click,4.0,Advertisement
74,1242,493,2024-03-14,view,5.0,Recommendation
75,317,195,2024-01-05,view,3.0,Direct
76,829,426,2025-02-08,wishlist,3.0,Direct
77,1003,316,2025-10-18,wishlist,,Direct
78,80,128,2025-01-29,wishlist,,Recommendation
79,894,262,2024-12-22,click,5.0,Category
80,1427,60,2025-10-28,view,4.0,Recommendation
81,497,490,2024-02-05,wishlist,3.0,Search
82,1429,152,2024-09-24,click,,Category
83,507,593,2025-11-09,purchase,,Search
84,190,394,2025-02-11,cart,,Advertisement
85,387,434,2024-06-18,purchase,2.0,Category
86,1026,546,2025-11-05,purchase,2.0,Direct
87,1491,92,2024-04-21,click,3.0,Recommendation
88,551,215,2025-02-11,click,,Recommendation
89,1008,2,2024-04-09,view,4.0,Advertisement
90,854,296,2025-03-17,view,3.0,Recommendation
91,1442,138,2024-07-21,click,,Direct
92,1162,218,2024-07-09,view,,Recommendation
93,532,419,2025-03-27,click,,Recommendation
94,164,301,2024-03-28,view,2.0,Search
95,701,31,2025-08-22,view,5.0,Search
96,20,63,2024-09-29,cart,,Advertisement
97,86,100,2024-08-04,click,,Direct
98,1235,533,2024-09-29,wishlist,5.0,Category
99,1238,440,2024-12-10,view,3.0,Category
100,491,370,2025-11-12,view,,Category
101,677,103,2024-01-04,click,4.0,Recommendation
102,53,126,2025-06-27,view,1.0,Category
103,926,487,2025-06-11,view,1.0,Search
104,1307,330,2024-01-18,click,,Category
105,1389,455,2024-08-27,click,4.0,Advertisement
106,167,357,2025-03-14,wishlist,5.0,Search
107,789,301,2025-09-13,view,,Advertisement
108,1172,517,2024-02-02,view,,Category
109,1379,562,2025-04-23,view,5.0,Search
110,988,554,2024-09-03,view,,Search
111,217,446,2024-01-30,view,3.0,Direct
112,575,226,2024-09-20,click,,Recommendation
113,1095,504,2024-04-02,cart,3.0,Recommendation
114,1180,67,2025-10-21,view,4.0,Advertisement
115,895,239,2024-08-16,view,2.0,Search
116,229,92,2024-12-14,cart,1.0,Search
117,1174,377,2024-05-10,purchase,4.0,Advertisement
118,4,319,2024-03-04,click,1.0,Direct
119,868,328,2025-01-08,cart,,Advertisement
120,1360,228,2024-04-19,view,5.0,Category
121,297,304,2024-08-12,click,5.0,Recommendation
122,1232,291,2024-05-29,cart,,Advertisement
123,656,317,2025-05-29,wishlist,,Category
124,1447,588,2025-05-04,click,1.0,Direct
125,597,386,2024-03-01,wishlist,3.0,Recommendation
126,1468,216,2024-08-18,cart,,Recommendation
127,999,402,2024-11-02,wishlist,,Search
128,1123,402,2024-12-11,view,5.0,Category
129,802,401,2024-03-14,click,2.0,Category
130,1427,200,2025-12-18,purchase,4.0,Search
131,269,332,2025-08-17,purchase,,Category
132,938,168,2025-08-14,view,5.0,Category
133,297,215,2024-08-11,cart,1.0,Search
134,742,590,2024-04-14,click,,Direct
135,875,173,2024-02-27,view,5.0,Recommendation
136,108,121,2025-06-11,click,4.0,Recommendation
137,1285,414,2024-09-07,view,1.0,Direct
138,1001,310,2025-12-05,click,,Direct
139,1417,92,2025-04-19,purchase,4.0,Category
140,1296,456,2025-01-11,view,,Search
141,250,501,2025-10-18,click,1.0,Search
142,1202,587,2025-08-09,click,,Advertisement
143,371,394,2025-05-10,wishlist,4.0,Category
144,1171,129,2024-04-11,view,,Direct
145,1436,21,2025-02-07,click,5.0,Search
146,1063,599,2025-07-05,cart,,Recommendation
147,1349,121,2024-07-04,purchase,,Search
148,1137,458,2024-11-17,view,,Advertisement
149,423,166,2024-03-30,click,,Search
150,256,519,2024-11-01,view,,Direct
151,1348,1,2024-09-11,view,2.0,Advertisement
152,912,144,2025-08-13,click,3.0,Advertisement
153,722,552,2025-06-06,view,,Search
154,486,38,2024-07-11,view,1.0,Recommendation
155,1234,566,2024-08-09,click,2.0,Recommendation
156,1494,433,2024-03-17,click,2.0,Direct
157,1331,168,2025-02-13,click,2.0,Direct
158,1423,147,2025-07-02,view,2.0,Recommendation
159,1464,382,2025-07-31,click,,Direct
160,315,324,2025-03-20,view,1.0,Search
161,554,128,2025-06-28,view,4.0,Search
162,675,92,2025-01-06,purchase,2.0,Recommendation
163,463,281,2024-01-11,view,1.0,Direct
164,216,127,2024-06-28,click,2.0,Advertisement
165,1003,98,2025-06-25,view,2.0,Advertisement
166,556,102,2024-02-19,view,4.0,Recommendation
167,707,545,2025-07-18,click,4.0,Direct
168,1214,131,2024-09-22,view,,Recommendation
169,293,388,2025-08-04,cart,,Category
170,1449,256,2025-11-25,click,5.0,Recommendation
171,899,363,2025-04-24,click,2.0,Direct
172,1067,235,2024-11-08,click,,Category
173,833,321,2024-04-02,click,,Recommendation
174,192,170,2025-08-12,view,2.0,Advertisement
175,1010,11,2025-03-10,click,,Direct
176,1020,528,2025-12-02,wishlist,,Direct
177,29,195,2024-01-08,cart,3.0,Recommendation
178,1355,541,2025-12-01,click,5.0,Recommendation
179,1382,537,2024-08-18,view,3.0,Recommendation
180,1053,362,2024-02-22,view,4.0,Recommendation
181,765,116,2024-12-12,purchase,1.0,Advertisement
182,242,298,2024-11-02,click,2.0,Recommendation
183,5,583,2025-02-07,view,2.0,Advertisement
184,73,475,2025-09-24,purchase,,Category
185,13,472,2024-12-02,view,,Search
186,717,191,2025-02-15,view,,Direct
187,1008,203,2024-03-27,click,,Direct
188,254,500,2024-01-08,view,2.0,Recommendation
189,964,405,2025-01-18,view,4.0,Recommendation
190,1099,276,2024-04-21,wishlist,5.0,Recommendation
191,287,363,2025-03-20,view,1.0,Search
192,389,292,2024-02-11,view,4.0,Category
193,65,165,2025-11-13,view,5.0,Category
194,244,432,2025-05-15,click,,Category
195,819,514,2025-02-02,view,,Search
196,259,160,2024-12-18,click,1.0,Search
197,1390,351,2025-03-15,wishlist,,Direct
198,984,297,2024-10-15,click,4.0,Recommendation
199,1265,157,2025-06-07,view,2.0,Search
200,540,254,2025-11-13,purchase,1.0,Direct
201,1447,106,2025-12-18,cart,,Recommendation
202,1211,153,2024-08-22,view,4.0,Search
203,561,197,2024-05-29,view,1.0,Search
204,105,390,2025-02-21,click,1.0,Recommendation
205,689,437,2025-05-05,view,4.0,Search
206,624,113,2024-10-02,view,3.0,Direct
207,506,328,2024-02-18,view,,Search
208,1353,330,2024-08-05,view,2.0,Advertisement
209,207,442,2024-07-08,view,5.0,Category
210,685,312,2024-04-24,view,,Advertisement
211,267,340,2025-01-04,cart,3.0,Advertisement
212,1084,381,2024-08-31,click,1.0,Advertisement
213,787,90,2024-04-18,view,,Search
214,1202,196,2024-07-16,cart,,Search
215,1120,352,2024-11-04,cart,1.0,Advertisement
216,1477,158,2024-02-14,view,4.0,Advertisement
217,1458,259,2025-07-27,wishlist,3.0,Direct
218,1290,121,2025-03-22,view,4.0,Advertisement
219,1032,23,2024-06-19,click,,Category
220,94,580,2024-03-03,cart,1.0,Direct
221,1014,546,2025-06-09,wishlist,,Direct
222,1044,394,2025-07-29,cart,4.0,Advertisement
223,557,212,2024-07-07,view,1.0,Advertisement
224,1427,10,2025-06-09,click,2.0,Category
225,452,304,2025-12-26,view,,Recommendation
226,459,47,2025-06-30,view,,Recommendation
227,569,137,2024-10-03,purchase,,Recommendation
228,431,548,2024-04-28,view,3.0,Advertisement
229,756,333,2024-03-26,wishlist,2.0,Recommendation
230,837,302,2024-11-28,wishlist,,Category
231,450,287,2024-06-29,view,,Advertisement
232,1347,598,2024-04-18,cart,4.0,Category
233,1283,565,2024-07-30,cart,1.0,Category
234,551,209,2025-08-18,click,4.0,Recommendation
235,914,238,2025-03-20,view,5.0,Search
236,1016,186,2025-04-15,view,,Recommendation
237,1167,503,2024-07-03,click,,Category
238,334,182,2025-02-07,click,1.0,Search
239,294,74,2025-03-12,view,4.0,Search
240,1484,540,2024-05-20,cart,,Advertisement
241,205,387,2025-01-28,view,,Search
242,271,255,2024-03-26,view,,Search
243,218,556,2024-12-12,purchase,,Recommendation
244,286,492,2025-07-30,purchase,,Category
245,680,491,2024-06-07,view,2.0,Advertisement
246,253,22,2024-02-15,view,2.0,Search
247,1048,426,2024-05-25,view,1.0,Search
248,465,438,2025-01-29,view,2.0,Recommendation
249,1402,394,2025-12-04,purchase,,Direct
250,348,113,2024-08-17,view,2.0,Category
251,157,342,2024-05-01,view,,Search
252,1239,155,2024-07-01,view,3.0,Advertisement
253,372,436,2024-06-02,purchase,2.0,Advertisement
254,588,357,2024-04-16,view,5.0,Category
255,544,79,2024-01-03,purchase,,Recommendation
256,656,152,2025-02-03,view,5.0,Search
257,232,592,2025-03-13,wishlist,2.0,Recommendation
258,186,331,2024-05-10,view,4.0,Category
259,654,507,2025-03-10,click,4.0,Advertisement
260,1304,342,2024-05-21,cart,1.0,Direct
261,858,563,2025-05-24,click,5.0,Advertisement
262,1099,236,2025-01-28,view,4.0,Advertisement
263,1184,225,2025-12-20,view,3.0,Search
264,417,18,2025-01-06,click,,Search
265,123,358,2025-01-04,purchase,,Category
266,943,148,2025-07-18,wishlist,4.0,Recommendation
267,432,230,2024-02-27,cart,,Recommendation
268,774,27,2025-12-13,wishlist,3.0,Search
269,1437,109,2025-11-09,click,5.0,Advertisement
270,324,31,2024-05-30,view,,Recommendation
271,158,13,2025-08-05,purchase,4.0,Recommendation
272,374,482,2024-05-23,cart,2.0,Direct
273,843,346,2025-03-30,cart,,Category
274,228,160,2024-03-02,purchase,,Advertisement
275,356,516,2024-06-13,view,4.0,Direct
276,1135,265,2025-08-08,click,1.0,Direct
277,322,279,2024-04-04,click,,Recommendation
278,821,58,2024-08-12,view,,Direct
279,978,321,2025-10-30,click,4.0,Recommendation
280,112,381,2025-10-24,view,2.0,Search
281,214,80,2025-01-06,click,3.0,Search
282,491,289,2024-06-15,click,,Recommendation
283,1223,12,2024-11-12,view,1.0,Search
284,493,276,2024-03-28,wishlist,,Advertisement
285,991,47,2024-02-19,view,2.0,Search
286,731,290,2025-02-11,click,3.0,Direct
287,1487,365,2024-05-12,cart,,Category
288,835,516,2024-04-13,click,,Search
289,1203,392,2025-05-03,click,,Category
290,331,156,2025-11-29,click,,Recommendation
291,442,145,2024-06-13,wishlist,3.0,Direct
292,269,348,2024-10-24,view,4.0,Search
293,1460,397,2024-09-01,view,,Recommendation
294,1162,510,2024-04-09,cart,,Category
295,1121,90,2025-05-25,view,3.0,Recommendation
296,606,166,2024-03-10,view,3.0,Category
297,183,73,2024-07-02,cart,5.0,Category
298,970,263,2025-03-28,click,,Search
299,1165,500,2024-02-10,view,2.0,Direct
300,838,133,2025-03-27,view,3.0,Category
301,171,424,2025-06-02,click,,Advertisement
302,1319,59,2024-09-07,click,,Recommendation
303,216,298,2025-01-19,view,4.0,Search
304,457,398,2025-04-18,click,3.0,Direct
305,960,548,2025-04-21,view,,Search
306,813,444,2024-07-23,view,,Category
307,702,498,2024-08-05,cart,5.0,Search
308,571,466,2024-02-09,click,5.0,Recommendation
309,1312,219,2024-11-23,click,4.0,Search
310,741,441,2025-04-29,view,1.0,Search
311,1401,434,2024-10-03,view,,Search
312,291,71,2024-10-07,view,2.0,Direct
313,860,538,2024-08-07,click,2.0,Recommendation
314,111,95,2025-03-14,view,2.0,Recommendation
315,407,358,2025-03-05,click,,Direct
316,727,585,2025-02-02,purchase,1.0,Search
317,1481,593,2025-09-23,view,3.0,Search
318,309,470,2024-05-31,click,3.0,Search
319,1381,417,2024-09-26,click,,Direct
320,258,461,2025-10-16,wishlist,,Search
321,448,193,2025-03-06,click,,Advertisement
322,774,222,2024-12-22,view,1.0,Advertisement
323,30,380,2025-01-07,view,2.0,Advertisement
324,256,512,2025-10-26,wishlist,4.0,Direct
325,721,361,2025-07-09,view,3.0,Search
326,361,470,2025-03-14,view,,Advertisement
327,893,391,2024-10-18,purchase,4.0,Category
328,1438,102,2024-03-30,cart,,Search
329,1331,17,2025-09-23,wishlist,,Direct
330,1278,558,2024-04-12,click,,Category
331,862,217,2024-08-16,cart,4.0,Search
332,401,481,2024-05-07,view,5.0,Direct
333,1321,406,2024-01-08,wishlist,1.0,Advertisement
334,581,275,2025-11-05,view,4.0,Recommendation
335,9,425,2024-02-03,view,,Category
336,1063,326,2024-12-09,view,4.0,Recommendation
337,1139,401,2024-07-16,click,4.0,Search
338,1184,440,2024-05-11,wishlist,4.0,Recommendation
339,826,326,2025-06-13,view,1.0,Search
340,1455,130,2025-05-31,view,4.0,Category
341,1133,163,2024-11-26,view,,Search
342,896,12,2025-10-05,cart,,Search
343,1266,557,2024-03-21,click,,Recommendation
344,930,367,2024-07-10,view,1.0,Category
345,397,549,2024-09-08,cart,4.0,Category
346,1351,53,2024-10-08,view,,Search
347,1308,594,2024-04-15,view,,Search
348,291,290,2024-09-25,purchase,,Search
349,1013,371,2024-07-31,view,5.0,Search
350,848,76,2025-05-13,wishlist,,Recommendation
351,1408,430,2025-01-19,purchase,5.0,Recommendation
352,369,306,2024-01-11,purchase,,Search
353,703,356,2025-05-10,wishlist,,Recommendation
354,1069,261,2024-05-04,view,,Advertisement
355,48,531,2025-06-08,cart,1.0,Category
356,236,223,2024-01-31,view,1.0,Search
357,1491,130,2024-10-01,view,1.0,Search
358,714,565,2025-10-29,view,5.0,Direct
359,1050,410,2024-07-16,view,1.0,Category
360,805,106,2025-08-20,cart,2.0,Recommendation
361,422,500,2025-03-19,purchase,4.0,Advertisement
362,557,327,2025-09-29,view,4.0,Direct
363,410,581,2024-12-27,view,,Direct
364,343,35,2025-06-07,view,4.0,Category
365,1237,544,2024-12-26,view,,Recommendation
366,661,440,2024-07-09,view,,Recommendation
367,1346,381,2025-01-15,view,3.0,Search
368,20,327,2025-12-05,view,3.0,Recommendation
369,954,582,2024-11-25,purchase,,Direct
370,581,218,2025-06-23,view,2.0,Advertisement
371,1375,77,2025-08-10,purchase,4.0,Direct
372,651,328,2024-07-21,view,5.0,Direct
373,96,282,2025-03-07,view,5.0,Recommendation
374,1232,335,2025-08-28,view,,Category
375,37,590,2024-01-05,purchase,2.0,Recommendation
376,825,38,2025-06-30,purchase,,Category
377,1321,17,2024-03-12,click,4.0,Category
378,563,325,2024-12-20,view,3.0,Direct
379,1255,49,2025-02-06,view,5.0,Direct
380,1313,125,2025-01-17,wishlist,,Search
381,459,49,2024-01-11,view,3.0,Direct
382,464,175,2024-03-31,view,3.0,Advertisement
383,11,54,2024-09-22,purchase,,Search
384,99,312,2024-03-17,view,4.0,Category
385,1431,175,2024-05-21,click,,Recommendation
386,654,152,2025-08-21,purchase,4.0,Direct
387,1369,126,2025-06-18,click,5.0,Direct
388,575,330,2025-05-09,view,2.0,Category
389,1457,85,2024-12-27,click,1.0,Recommendation
390,1424,80,2024-03-17,wishlist,,Recommendation
391,27,222,2025-04-24,cart,1.0,Direct
392,215,349,2024-08-01,cart,3.0,Category
393,1452,465,2025-11-02,view,,Recommendation
394,449,373,2025-01-29,wishlist,1.0,Direct
395,385,71,2024-10-11,view,2.0,Advertisement
396,1328,105,2024-05-30,click,,Search
397,493,17,2025-04-16,view,,Direct
398,1356,544,2025-04-08,view,,Advertisement
399,173,363,2025-03-17,view,4.0,Advertisement
400,883,521,2024-12-07,view,2.0,Category
401,201,51,2025-10-26,view,4.0,Recommendation
402,603,194,2025-02-16,view,2.0,Advertisement
403,1245,506,2025-06-15,view,,Recommendation
404,228,225,2024-04-27,view,,Advertisement
405,546,245,2024-03-08,click,2.0,Recommendation
406,1271,415,2025-02-05,view,1.0,Category
407,1015,211,2024-06-24,cart,3.0,Category
408,1446,295,2024-01-04,view,5.0,Category
409,1409,245,2024-06-23,view,,Recommendation
410,384,341,2025-04-11,view,,Direct
411,877,343,2024-01-22,view,2.0,Search
412,350,10,2025-08-31,view,5.0,Advertisement
413,3,501,2024-09-10,click,,Search
414,1162,298,2024-08-21,click,,Recommendation
415,193,103,2024-11-07,cart,3.0,Direct
416,1005,360,2025-07-12,view,5.0,Category
417,747,470,2024-01-14,purchase,2.0,Category
418,1061,496,2024-04-25,view,,Recommendation
419,841,226,2025-11-06,wishlist,3.0,Direct
420,64,251,2025-08-14,cart,4.0,Category
421,423,92,2024-07-17,wishlist,4.0,Search
422,561,558,2025-04-05,wishlist,,Category
423,1391,358,2024-12-05,view,4.0,Category
424,634,196,2024-02-12,click,3.0,Advertisement
425,252,444,2025-04-10,click,3.0,Category
426,226,9,2025-05-25,wishlist,,Direct
427,1395,154,2025-06-19,wishlist,,Category
428,998,296,2024-03-07,cart,,Direct
429,84,223,2024-10-16,purchase,,Search
430,1001,314,2024-01-06,view,,Search
431,515,142,2024-12-24,purchase,,Search
432,1461,278,2024-05-26,wishlist,1.0,Direct
433,1199,83,2024-10-24,view,5.0,Category
434,510,396,2025-03-08,view,,Category
435,619,319,2024-06-26,click,3.0,Advertisement
436,286,205,2024-09-13,view,1.0,Category
437,625,88,2024-10-31,click,5.0,Advertisement
438,376,385,2025-03-23,view,5.0,Category
439,1032,367,2025-04-24,view,5.0,Direct
440,841,473,2024-01-29,purchase,,Direct
441,182,144,2025-09-21,purchase,1.0,Advertisement
442,1049,383,2024-05-10,click,2.0,Search
443,805,129,2025-02-16,click,5.0,Advertisement
444,943,56,2024-03-27,view,,Category
445,1218,100,2024-10-24,click,3.0,Search
446,249,599,2025-11-21,click,,Recommendation
447,1058,148,2025-07-29,cart,5.0,Recommendation
448,458,159,2024-11-04,click,,Direct
449,1278,206,2024-04-27,view,,Advertisement
450,248,533,2024-04-09,view,,Direct
451,51,518,2025-03-30,view,,Category
452,829,496,2024-07-07,purchase,2.0,Advertisement
453,1396,450,2025-11-04,click,4.0,Recommendation
454,1303,23,2024-07-08,view,1.0,Recommendation
455,1048,560,2024-07-24,click,2.0,Category
456,1368,103,2025-08-25,click,2.0,Direct
457,791,110,2025-04-20,view,4.0,Recommendation
458,58,291,2025-04-13,view,4.0,Search
459,1189,311,2024-02-04,click,5.0,Search
460,727,143,2025-04-24,purchase,5.0,Category
461,19,163,2025-01-01,click,1.0,Category
462,1447,538,2025-02-03,click,,Recommendation
463,721,577,2024-12-13,click,,Category
464,1349,311,2025-02-07,view,5.0,Direct
465,967,185,2025-08-12,cart,2.0,Recommendation
466,1430,332,2025-08-25,wishlist,3.0,Advertisement
467,1265,414,2024-03-10,view,,Recommendation
468,198,109,2025-05-26,wishlist,5.0,Category
469,475,243,2024-04-17,purchase,,Direct
470,861,66,2024-03-04,click,,Search
471,150,453,2025-01-18,click,,Recommendation
472,658,111,2025-12-16,view,,Advertisement
473,1140,205,2024-07-19,view,5.0,Category
474,462,207,2024-06-14,view,1.0,Search
475,1193,25,2025-10-06,wishlist,,Recommendation
476,69,144,2024-01-06,view,4.0,Advertisement
477,1120,74,2024-12-14,view,5.0,Recommendation
478,425,585,2025-04-30,click,3.0,Advertisement
479,1145,142,2024-03-09,view,4.0,Search
480,1166,81,2024-05-10,cart,2.0,Search
481,242,511,2024-08-24,view,3.0,Search
482,459,297,2024-09-14,view,3.0,Search
483,324,295,2024-03-17,click,1.0,Advertisement
484,1252,513,2024-11-15,view,,Advertisement
485,1429,114,2025-08-19,click,2.0,Search
486,67,347,2025-03-07,view,3.0,Search
487,286,210,2025-07-14,cart,3.0,Search
488,483,506,2024-03-15,cart,,Category
489,145,427,2025-09-04,cart,,Advertisement
490,981,133,2024-10-04,cart,,Search
491,1018,520,2024-08-18,click,4.0,Direct
492,622,234,2024-01-22,wishlist,,Recommendation
493,1095,389,2025-11-29,click,,Advertisement
494,988,54,2025-01-31,cart,,Direct
495,1437,438,2025-07-16,view,5.0,Search
496,1261,377,2024-12-26,view,4.0,Search
497,488,238,2024-04-04,click,1.0,Direct
498,1099,582,2024-02-16,wishlist,,Recommendation
499,117,79,2024-02-28,view,,Category
500,90,322,2024-12-24,click,1.0,Category
501,266,408,2025-05-05,click,,Search
502,513,557,2024-07-29,click,3.0,Recommendation
503,909,310,2025-01-10,cart,2.0,Recommendation
504,1079,274,2024-11-22,click,,Search
505,710,421,2025-12-23,wishlist,5.0,Category
506,161,209,2024-05-20,purchase,1.0,Category
507,1133,216,2024-05-05,view,,Search
508,482,451,2025-10-27,cart,,Search
509,1022,35,2024-10-03,view,4.0,Category
510,174,62,2024-10-12,purchase,4.0,Direct
511,39,392,2025-01-28,view,1.0,Recommendation
512,777,189,2025-11-06,view,,Category
513,65,555,2024-12-22,wishlist,3.0,Category
514,1211,222,2024-01-29,view,4.0,Direct
515,1494,59,2024-04-21,click,2.0,Advertisement
516,950,435,2025-08-09,cart,2.0,Recommendation
517,781,479,2024-08-31,view,,Category
518,1398,281,2024-03-28,wishlist,2.0,Category
519,1170,405,2024-02-09,click,3.0,Category
520,1351,257,2025-10-30,cart,,Search
521,629,583,2025-11-07,view,2.0,Recommendation
522,909,474,2024-01-18,view,5.0,Search
523,735,492,2025-10-15,purchase,1.0,Direct
524,120,594,2024-03-22,view,3.0,Search
525,903,185,2024-09-21,cart,2.0,Category
526,1014,131,2024-08-20,click,,Advertisement
527,1344,51,2024-08-26,view,,Recommendation
528,1402,519,2025-03-26,click,,Advertisement
529,1470,234,2024-03-03,wishlist,2.0,Category
530,34,362,2025-07-07,cart,1.0,Category
531,224,80,2025-06-03,view,,Recommendation
532,418,334,2025-08-07,view,4.0,Search
533,1315,437,2024-10-16,view,3.0,Advertisement
534,738,344,2025-02-21,purchase,3.0,Direct
535,603,32,2024-06-13,view,2.0,Recommendation
536,1211,27,2024-04-18,click,3.0,Advertisement
537,1466,521,2025-08-18,cart,1.0,Direct
538,1194,34,2025-11-03,cart,4.0,Search
539,159,230,2025-08-01,click,4.0,Advertisement
540,249,541,2024-02-22,click,5.0,Category
541,552,200,2025-08-12,view,1.0,Category
542,498,371,2024-08-24,click,,Recommendation
543,912,420,2025-01-05,view,,Category
544,1339,496,2025-09-11,view,4.0,Recommendation
545,1167,129,2025-07-04,view,4.0,Advertisement
546,1364,142,2025-09-12,view,2.0,Category
547,643,121,2024-03-24,view,,Advertisement
548,1013,203,2024-07-03,purchase,,Recommendation
549,248,429,2024-09-26,cart,5.0,Search
550,259,35,2025-03-17,view,,Search
551,272,528,2025-06-26,purchase,4.0,Category
552,262,412,2025-12-14,click,2.0,Search
553,690,345,2025-08-28,click,,Search
554,152,364,2025-04-04,purchase,5.0,Direct
555,593,489,2025-12-17,view,,Advertisement
556,1044,86,2024-06-04,purchase,3.0,Direct
557,777,329,2025-03-25,view,2.0,Search
558,476,305,2025-05-20,view,4.0,Category
559,662,394,2024-11-22,cart,,Search
560,1498,216,2025-03-16,click,3.0,Search
561,712,292,2024-06-18,view,2.0,Direct
562,899,230,2024-06-22,view,2.0,Advertisement
563,218,238,2025-11-13,view,,Recommendation
564,1131,521,2024-06-21,view,,Advertisement
565,1102,200,2024-01-07,click,,Category
566,417,289,2025-08-07,view,5.0,Advertisement
567,259,465,2024-10-29,purchase,,Direct
568,886,506,2024-09-26,view,,Category
569,1499,120,2024-12-28,cart,1.0,Search
570,670,161,2025-06-03,view,5.0,Advertisement
571,1377,76,2025-12-24,click,,Direct
572,206,534,2024-11-21,view,,Search
573,504,141,2025-08-23,view,1.0,Recommendation
574,544,482,2024-06-04,click,,Direct
575,579,135,2024-07-22,click,,Advertisement
576,1482,220,2024-01-04,view,5.0,Advertisement
577,1252,214,2025-12-28,view,4.0,Category
578,1257,390,2025-10-08,click,3.0,Direct
579,1087,185,2024-11-03,purchase,2.0,Direct
580,1004,402,2025-09-04,view,5.0,Category
581,198,225,2024-04-25,wishlist,2.0,Direct
582,916,334,2024-09-10,click,,Recommendation
583,952,327,2025-11-07,view,4.0,Recommendation
584,991,501,2025-09-07,view,1.0,Search
585,596,275,2025-06-03,view,4.0,Search
586,1152,331,2024-09-24,click,4.0,Direct
587,906,436,2025-02-12,view,,Category
588,995,225,2024-12-13,click,,Category
589,917,420,2024-08-14,click,,Advertisement
590,423,113,2025-09-20,click,,Advertisement
591,1106,21,2024-01-22,cart,,Category
592,723,567,2024-03-05,click,1.0,Category
593,1097,204,2024-06-09,purchase,4.0,Recommendation
594,595,166,2025-01-17,view,1.0,Advertisement
595,510,14,2024-02-06,purchase,,Advertisement
596,815,497,2024-02-13,view,2.0,Search
597,472,254,2024-02-04,view,,Direct
598,1343,411,2024-05-14,cart,2.0,Search
599,157,76,2025-05-31,cart,4.0,Search
600,31,555,2025-09-11,purchase,,Advertisement
601,802,199,2025-09-12,purchase,3.0,Direct
602,1050,24,2024-11-05,view,1.0,Search
